"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Brazil","BRA","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","0.88","0.93","0.86","0.74","0.64","0.6","0.76","","0.82","0.69","","0.76","0.66","0.69","0.75","0.78","","0.71","0.81","0.79","0.89","0.93","0.96","0.9","0.99","0.98","","0.98","1.04","","",
"Barbados","BRB","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.3","","","","2.8","","","","","2.86","","",
"Botswana","BWA","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","1.43","","","","","","","","","1.28","","","","","","","","","0.82","","","","","","1.05","","","","","",
"Central African Republic","CAF","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.69","","","","","","","","","","","2.1","","","","","1.22","","","","","","",
"Canada","CAN","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.74","","","","2.83","","","2.79","","","2.65","2.39","","2.48","","","","2.53","","","2.7","","","2.68","","","","",
"Central Europe and the Baltics","CEB","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.75","","","","","","","","2.92","","3.08","","2.76","","","","","","","","","","",
"Channel Islands","CHI","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.16","","","1.19","","1.42","","1.23","","1.33","","1.25","","1.32","","","1.38","","","1.57","","","1.55","","1.68","","","",
"China","CHN","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","3.76","","","3.26","","","3.49","","","3.18","","","3.11","","","2.73","","","2.28","","","1.79","","","1.77","","1.69","","","","",
"Cote d'Ivoire","CIV","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","1.97","3.07","2.74","2.82","","","","","2.41","","3.05","","","2.67","","","","2.58","","","","","","2.04","","","","","","",
"Cameroon","CMR","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.75","","","","","2.62","","","","","","2.74","","","","","","","",
"Congo, Rep.","COG","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.08","","","","","","2.17","","","",
"Colombia","COL","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.22","1.34","","1.34","1.06","","","","0.46","","","0.35","0.13","0.5","0.94","1.06","1.12","1.13","0.68","0.79","0.91","0.97","1.05","1.11","1.07","","",
"Comoros","COM","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.91","","","","","","","","","","",
"Cabo Verde","CPV","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.88","","","","","2.45","","","","","","","",
"Costa Rica","CRI","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","1.68","","","0.61","0.95","0.97","1.07","1.01","1.13","1.12","1.05","1.28","1.36","1.16","1.13","0.91","0.96","0.98","1.12","1.3","1.24","1.46","1.41","1.21","1.57","1.49","1.47","","",
"Caribbean small states","CSS","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Czech Republic","CZE","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.31","","","","","4.64","","","4.32","","","","","","","","","3.77","3.73","","3.91","3.82","3.71","3.69","","","",
