"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Belize","BLZ","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79","180","286","","33","122","22","45","21","25","20","49","66","42","61","",
"Bermuda","BMU","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","591","644","","","","","182","139","","","","","","","","","","","","","","","","","","","","","","","","","223","277","438","","",
"Bolivia","BOL","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34339","36725","41485","48317","44903","43355","","","36449","43920","64934","53809","74539","93826","119837","137241","",
"Brazil","BRA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","521415","214482","","","","","","","","","",
"Barbados","BRB","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","2721","2395","2025","","","","","","","","264","622","","","","","","","","350","","1242","","","","","","","234","229","305","440","493","647","541","327","263","219","361","294","331","","","",
"Brunei Darussalam","BRN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","1327","1235","2459","2475","2862","3171","3119","3190","","3085","","","","","1611","1094","414","417","","","","","","","","","","","","","","693","539","587","645","1070","1079","",
"Bhutan","BTN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","25614","25859","","","","","","","","","","","","","","","","","","","26065","25469","23568","21484","","","","13760","11426","","8066","5613","4390","4072","3236","3839","",
"Botswana","BWA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","36439","39333","38954","38446","36019","31186","28012","24941","24872","24099","20656","16377","","14240","15013","13990","14389","14155","13975","14338","15143","12666","14701","16671","17759","32636","32507","","28176","29247","27129","24609","24465","24188","25150","24042","23569","24779","24850","23777","","","","","",
"Central African Republic","CAF","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","90397","90077","89065","","","","100328","103664","","","105065","106789","111503","","","106155","128415","135522","138608","126067","136255","","","","","","","","","","","","","","181598","185092","166396","139775","140809","133868","139288","127690","","",
"Canada","CAN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","47968","52708","59343","59482","55230","55518","55731","60184","48183","26412","29605","53057","64467","74313","64156","","18198","1762","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","246440","159002","177462","158447","133987","116459","114789","122287","118638","121157","102508","96775","88765","101950","106111","115103","","",
"Switzerland","CHE","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","69303","66891","","","59507","57550","55862","54914","53557","51325","47409","42856","38480","34802","33262","33773","35689","38098","26407","21905","","","749","745","600","539","464","1888","3970","4987","4671","2842","1801","1647","1047","830","","",
"Channel Islands","CHI","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
