Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
Mozambique																																						66.49					59.42					35.63					42.68					45.01
Mauritania																																				51.31					74.73						51.34				53.55		49.67					40.32
Mauritius																																																										
Malawi																																						68.38					107.61					58.46					73.93					64.66
Malaysia																																																										
North America																																																										
Namibia																																						62.22					62.21					80.85					67.62					73.75
New Caledonia																																																										
Niger																																					38.1			59.39			38.31					43.54							45.39			
Nigeria																							44.83														27.79						57.36				65.33				49.85				48.32			
Nicaragua							59.74				64.91							76.92										74.01						78.06						75.57					75.05					74.16					71.84			
Netherlands																																																										
High income: nonOECD																																																										
Norway																																																										
Nepal																																																										
New Zealand																																																										
High income: OECD																																																										
OECD members																																																										
Oman																																																										
Other small states																																																										
Pakistan																																																										
Panama				47.64				54.35				48.45																56.41					55.6					70.16					76.3					80.33					69.04					80.67
Peru						36.32	35.67																	59.02					73.43					66.29					66.39					76.53	78.61					83.19					86.18			
Philippines																																				65.29						68.96						75.14						64.7				
Palau																																				93.23				85.91				81.65				68.55				67.56				54.86		
Papua New Guinea																																																										
Poland																																		55.1					68.9					62.58					51.46					54.5				
Puerto Rico																																																										
"Korea, Dem. Rep."																																																										
Portugal																				75.44				86.68						82.4					69.84					77.23					57.19					66.97					51.92			
Paraguay							73.41					63.99					62.26					66.7					56.99					63.49	55.66				33.38					59.43					47.6					45.94					57.96	
Pacific island small states																																																										
French Polynesia																																																										
Qatar																																																										
Romania																																								78.14				53.88				58.32					59.24					66.42
Russian Federation																																			73.27					67.61				68.85				62.22				65.37				63.37		
Rwanda																																															89.77							89.17				
South Asia																																																										
Saudi Arabia																																																										
Sudan																																								36.22																		
Senegal																											40.47					38.03					32.87							37.37							55.11					44.83		
Singapore																																					83.68																		55.33			
Solomon Islands																																																										
Sierra Leone																																								50.69						75.56					64.79					88.25		
El Salvador						31.73					33.22					45.63					59.09							30.46					39.42					42.48					38.11					63.13					72.39					80.13
San Marino																																																										
Somalia																																																										
Serbia																																																				77.61				54.1		
Sub-Saharan Africa (developing only)																																																										
South Sudan																																																										
Sub-Saharan Africa (all income levels)																																																										
Small states																																																										
Sao Tome and Principe																																			54.45					63.65					70.42					69.76					71.28			
Suriname																																																										
Slovak Republic																																											80.91					44.12					51.25					51.11
Slovenia																																		76.97		85.52					71.18					65.47					61.26					43.41		
Sweden																																																										
Swaziland																																																										
Sint Maarten (Dutch part)																																																										
Seychelles																																					96.08					90.18			97.85					97.08					92.6			
Syrian Arab Republic																																																										112.23
Turks and Caicos Islands																																																										
Chad																																								79.89					70.01					71.4					57.92			
Togo																																										74.82					96.46		88.36					61.29				
Thailand																																																										
Tajikistan																																						77.28												80.78							79.13	
Turkmenistan																																																			100.18					87.03		
Timor-Leste																																														87.79					71.34					76.28		
Tonga																																																										
Trinidad and Tobago																																																										
Tunisia																																						63.4					3.52					68					64.84					40.45
Turkey																																																										74.37
Tuvalu																																																										
Tanzania																																							48.03					53.05					68.02					40.71				
Uganda																																								62.42					74.23					61.17					55.32			
Ukraine																																						68.14					73.77					78.13						67.95				49.55
Upper middle income																																																										
Uruguay						59.98				66.85					85.06													92.8					92.82					96.11					94.71					91.75					96.1					97.14
