Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Central Europe and the Baltics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,,,,,,,64.46,,,,63.76,,,,56.36,,,,52.39,,,,48.06,,,,48.91,,,,47.48,,,,46.04,,,,42.25,,,,43.22,,,,45.22,,,,48.28,,,,49.1,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,74.54,,,,80.57,,,,74.15,,,,81.75,,,,,,,,,,,,,,,,94.73,,,,90.96,,,,87.32,,,,87.11,,,,87.67,,,,87.67,,,,49.25,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.47,,,,,,,,,,31.54,,,,,,,,,,,36.56,,,
Cameroon,,,,69.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.32,,,,60.59,,,,,75.6,,,,,65.66,,,,,62.01,,,,,,76.79,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.36,,,,,,,,,,,,
Colombia,,,,57.82,,57.88,,36.85,,44.47,,37.28,,51.92,,,,57.14,,,,33.39,,,,40.7,,,,43.62,,,,55.33,33,,,36.14,,,,45,,,,42.45,,,,40.49,,,,43.75,,,,43.58
Comoros,,,,,,,,,,,,,,,,,,,,,,75.61,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.27,,,,76.52,,,,,,54.14,,,,,54.18,,,,,76.01,,,
Costa Rica,,,,,,80.89,,,,81.4,,,,83.32,,,,79.89,,,,81.16,,,,78.62,,,,81.81,,,,81.79,,,,81.09,,,,69.99,,,,68.84,,,,65.13,,,,69.11,,,,68.38
Caribbean small states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.66,,,,,,,98.71,,,,,98.35,,,,,97.64,,,,,96.89,,,,,90.88,
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.25,,,,,,,,79.87,
Cyprus,,,,,,,,,,,,,,75.85,,,,,,85.29,,,,,95.75,,,,94.62,,,,,,94.31,,,,,90.13,,,,,91.75,,,,,89,,,,,78.7,,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.33,,84.68,,,,76.29,,74,,,,57.95,,,,64.47,,,,62.6,,,59.48,
Germany,,,,,87.74,,,,86.77,,,,86.67,,,91.11,,,,90.75,,,,88.57,,,89.09,,,,84.33,,,77.76,,,,78.97,,,,82.2,,,,79.08,,,77.65,,,,70.78,,,,71.55,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.45,,,,,56.83,,,,,,48.42,,,,,72.61,,,,,69.16,
Dominica,,,,,76.94,,,,,80.26,,,,81.56,,,,,77.26,,,,,80.21,,,,,74.56,,,,,66.64,,,,,65.18,,,,,60.17,,,,,59.09,,,,54.87,,,,,56.31
Denmark,,,,85.84,,,,85.51,,88.61,,89.28,,,87.16,,88.72,,88.23,,88.7,,85.62,,87.77,,,88.44,,,86.74,85.7,,82.85,,,,84.25,,,,85.95,,,87.15,,,,84.54,,86.59,,,,87.74,,,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.49,,,,56.19,,,,42.4,,78.57,,52.97,,,,51.05,,,,56.46,,,,56.43,,,,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,65.6,,,,,46.17,,,,,35.51,,,,,43.14,,
East Asia & Pacific (developing only),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (all income levels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (developing only),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (all income levels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,80.37,,,,,71.15,,74.02,,77.65,,69.42,,,,65.49,,67.87,,47.25,,,,63.51,,,,63.5,,,75.72,,,,80.84,
"Egypt, Arab Rep.",,,,,,,,,,,,,,,,,,,,39.77,,,,,,,,43.14,,,50.32,,,44.43,,,,,47.99,,,,,,,,,,28.13,,,,,27.47,,62.04,,
Euro area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,,,,,,,,,,,,,,,,,,,,,76.96,,68.13,,,79.83,,,,70.37,,,70.01,,,,77.05,,,78.06,,,,68.71,,,,75.66,,,,75.32,,,68.94,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.2,,67.84,,,68.91,,,,57.43,,,,58.24,,,,61.91,,,,63.53,,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.05,,,,,90,,,,,82.6,,,,,93.44,,,,
European Union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,,,,,,85.09,,,,84.94,,,,82.23,,81.4,,,73.8,,,,75.31,,,,75.73,,,,72.06,,,,68.39,,,,68.58,,,,65.27,,,,66.71,,,,65.02,,,,67.37,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.77,,74.8,,,,,89.41,,81.05,,,,,64,,,,,,,,84.6
France,,,,,,68.69,,,,,81.12,79.85,,,,,81.31,,,,,71.63,,,70.87,,,,,78.48,,66.18,,,,,68.93,,,,67.96,,,,,60.32,,,,,59.98,,,,,55.4,,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.19,,,,91.63,,92.34,,,,89.5,,,,,,
