"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Aruba","ABW","Income share held by highest 10%","SI.DST.10TH.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Income share held by highest 10%","SI.DST.10TH.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Income share held by highest 10%","SI.DST.10TH.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.21","","","","","","","",
"Angola","AGO","Income share held by highest 10%","SI.DST.10TH.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.74","","","","","","","","32.37","","","","","","",
"Albania","ALB","Income share held by highest 10%","SI.DST.10TH.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.71","","","","","","25.44","","24.41","25.04","","","24.46","","","","22.93","","",
"Arab World","ARB","Income share held by highest 10%","SI.DST.10TH.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Income share held by highest 10%","SI.DST.10TH.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Income share held by highest 10%","SI.DST.10TH.10","","","","","","","","","","","","","","","","","","","","","","","","","","","32.43","34.42","","","","36.6","34.29","33.2","34.44","36.96","36.87","36.36","38.05","37.05","37.7","39.46","40.51","39.9","36.66","36.32","35.38","34.92","33.65","32.56","32.42","31.84","","","",
"Armenia","ARM","Income share held by highest 10%","SI.DST.10TH.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.22","","29.57","","","29.1","29","28.2","31.69","30.62","27.47","24.28","25.27","24.36","26.21","26.13","24.76","","",
"American Samoa","ASM","Income share held by highest 10%","SI.DST.10TH.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Income share held by highest 10%","SI.DST.10TH.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Income share held by highest 10%","SI.DST.10TH.10","","","","","","","","","","","","","","","","","","","","","","","","","","24.29","","","","24.7","","","","","","24.87","","","","","","25.24","","25.23","","","","","","","","","","","",
"Austria","AUT","Income share held by highest 10%","SI.DST.10TH.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.31","","","","","","","24.66","22.43","","23.48","","","22.76","","","","23.96","","","","","","","","","","",
"Azerbaijan","AZE","Income share held by highest 10%","SI.DST.10TH.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.04","","","","","","29.66","17.59","17.96","17.14","17.41","","","26.64","","","","","","",
"Burundi","BDI","Income share held by highest 10%","SI.DST.10TH.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.59","","","","","","32.87","","","","","","","","28.04","","","","","","","","",
"Belgium","BEL","Income share held by highest 10%","SI.DST.10TH.10","","","","","","","","","","","","","","","","","","","","","","","","","","20.61","","","21.03","","","","20.15","","","22.87","","21.6","","","28.34","","","","","","","","","","","","","","",
"Benin","BEN","Income share held by highest 10%","SI.DST.10TH.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.24","","","","","","","","34.86","","","",
"Burkina Faso","BFA","Income share held by highest 10%","SI.DST.10TH.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.1","","","","39.85","","","","","33.97","","","","","","32.15","","","","","",
"Bangladesh","BGD","Income share held by highest 10%","SI.DST.10TH.10","","","","","","","","","","","","","","","","","","","","","","","","","21.87","23.41","","","24.58","","","23.2","","","","28.11","","","","","28.11","","","","","28.12","","","","","27.03","","","","",
"Bulgaria","BGR","Income share held by highest 10%","SI.DST.10TH.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.03","","","24.71","","20.99","26.09","","22.77","","","","25.35","","23.63","","","","22.16","25.67","","26.95","26.03","","","",
"Bahrain","BHR","Income share held by highest 10%","SI.DST.10TH.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
