"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Belize","BLZ","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","48","260","","355","429","74","282","413","110","157","360","33","351","75","",
"Bermuda","BMU","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","493","537","","","","","299","197","","","","","","","","","","","","","","","","","","","","","","","","","221","308","359","","",
"Bolivia","BOL","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31803","36635","44472","53682","49580","50292","","","43676","50638","70569","57719","79541","99783","124045","135582","",
"Brazil","BRA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","217932","386762","","","","","","","","","",
"Barbados","BRB","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","2413","2036","2023","","","","","","","","611","340","","","","","","","","23","","1204","","","","","","","887","1040","1152","1314","1337","1405","1420","1105","1177","841","890","555","282","","","",
"Brunei Darussalam","BRN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","1317","1255","2540","2469","3184","3524","3493","3561","","3398","","","","","1319","1138","882","925","","","","","","","","","","","","","","600","553","798","833","874","1196","",
"Bhutan","BTN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","20529","20289","","","","","","","","","","","","","","","","","","","22141","22001","20827","18731","","","","14247","12297","","9575","7244","6228","5845","4809","5296","",
"Botswana","BWA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","41653","44629","44956","45415","43690","40534","38449","36318","36672","36298","33366","29063","","26411","26535","24832","23601","23204","23548","23013","24828","22537","23419","24109","24601","38526","38212","","34345","34814","32857","30154","29337","29316","25599","28848","26696","27838","28090","26064","","","","","",
"Central African Republic","CAF","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","45964","43208","41856","","","","56899","58589","","","53741","50797","44780","","","52863","79660","88893","92015","69728","84790","","","","","","","","","","","","","","130726","131383","101710","71003","69627","62292","72918","65962","","",
"Canada","CAN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","47583","48195","53458","56465","54102","53222","54048","45419","58554","23226","26763","42195","44759","62441","51012","","17916","3523","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","245766","156611","174754","156655","130181","118582","111580","128174","124278","126541","108904","101396","93643","107366","114031","126877","","",
"Switzerland","CHE","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","78437","75697","","","65752","63315","62451","61888","59838","57064","53216","48148","42609","38681","37313","38056","41372","44624","26649","22458","","","1831","2812","3363","3410","3467","3605","5885","6611","6335","4564","3258","2947","2456","3324","","",
"Channel Islands","CHI","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37814","32642","48807","45848","52444","55317","","",
"China","CHN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","880523","2474529","3924068","5453380","7025647","8157840","8972854","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","223594","","","","","","","","","","","","","","","","","","","424120","416186","","398517","404792","349525","338068","450278","","","","","","491318","","","","","",
"Cameroon","CMR","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","155506","173336","190581","216645","181714","179986","197113","194685","197352","203341","","","","","","","","205586","","231707","262476","","","","","","","","","","","","","","","","","","","","","50688","","",
"Congo, Rep.","COG","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","11160","","4458","","3120","","66","","14001","15799","15563","15961","13531","","","","","","","","","","","","","","","","","","","","","141658","115464","","","","33675","","41364","","",
"Colombia","COL","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","677833","","","","","706428","","","","","","","","113491","78595","","153343","","","95671","118718","147792","151979","161160","195615","","","","",
"Comoros","COM","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","5863","","","","","","","9803","","","","","10604","7074","","","","","","","6583","","","","","","8608","",
"Cabo Verde","CPV","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","2717","2981","3912","2988","2585","2563","2531","1262","","249","","","","","","","","","","","109","209","230","937","1208","1606","1881","2008","1699","1383","938","354","179","",
"Costa Rica","CRI","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","23666","","21534","18753","","17512","13921","","15801","18611","18933","18191","21644","","","26692","25938","26306","","27432","29024","29475","","","","","","","","","","","","","","","","","","","","13155","18224","22742","",
"Caribbean small states","CSS","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","30838","31402","29852","33731","25153","38650","43584","31728","30732","29851","35349","31339","23525","22351","23825","22803","22454","13179","17796","14116","23593","28947","24887","24686","25134","25637","27109","25444","21476","18708","19438","24409","28533","27910","24275","26548","30214","32075","31827","35402","36084","37410","41030","","",
"Cuba","CUB","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","56073","44562","37759","","","","","9983","12863","30978","38343","34875","45714","50804","44778","33300","31539","30821","35105","38239","31015","28653","18602","20033","7032","6723","8008","6322","9188","11808","15045","23680","21874","20809","18219","3360","1188","","10","7513","15146","15271","",
"Curacao","CUW","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","8168","8466","8295","8277","10693","11430","11703","11301","10936","10999","9797","10921","10702","10569","10370","8819","7517","7128","7362","8070","8279","9182","793","983","1243","1220","1273","","669","765","923","587","510","380","130","142","163","212","155","245","189","552","","",
"Czech Republic","CZE","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Germany","DEU","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18357","47978","51768","35119","24606","","","","","","","10774","","",
"Djibouti","DJI","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","25345","25980","27742","29703","31361","32348","","32819","35422","36455","37823","39696","42263","","44193","44611","42564","41248","","37210","35048","31581","28495","21273","21405","","17206","","18024","14765",
"Dominica","DMA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","604","762","","1308","1170","1510","932","","","","","","","","","","","","","","","","","","","","","","143","287","381","466","421","174","189","","","","",
"Denmark","DNK","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","10608","8533","4645","2010","2951","2466","2399","2196","4323","4403","3091","4152","4798","1923","3071","2986","","","4475","4775","","","","4718","9415","8931","7838","9757","9878","9966","6669","5456","","",
"Dominican Republic","DOM","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106521","101555","","52552","68419","120330","109585","122405","78676","99748","10209","36231","50725","63808","","",
"Algeria","DZA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","287000","229627","202097","184242","176886","176860","191387","183378","190191","209486","238577","231934","242594","238905","229027","225897","228482","244881","235957","238780","274073","292418","291049","302885","314384","","247879","222011","159558","122515","106235","89627","88649","93928","102614","84271","30941","","","","","",
"East Asia & Pacific (developing only)","EAP","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","2005180","1764205","1711815","1696426","1857060","2719396","4284469","5804738","7250717","8975841","10345035","11290035","8587039","5846491","5404480","4845100","4564952","4038006","4211292","4461313","4747901","3521025","3486720","3156888","3314782","3587242","3599781","","",
"East Asia & Pacific (all income levels)","EAS","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","2109432","1836179","1777303","1763287","1935959","2812201","4385875","5931985","7368388","9117307","10478608","11427182","8728846","5974064","5513503","4959477","4675025","4131370","4303011","4547859","4835867","3583660","3548810","3213109","3383469","3656637","3654515","","",
"Europe & Central Asia (developing only)","ECA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","671616","712833","770336","771049","624294","542541","434423","334003","269564","328601","315245","302544","319084","337220","336870","421914","394391","390567","419395","","",
"Europe & Central Asia (all income levels)","ECS","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1327789","1483757","1499173","1480062","1547918","1411719","1329756","1081447","986767","822393","594957","484787","570398","598379","790253","747469","725593","651090","701617","654013","644503","685069","","",
"Ecuador","ECU","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","95305","","96070","94600","102847","102546","85055","74762","54137","64801","","","","","","","","","","","","","","51549","51189","46068","27730","26496","28331","18491","","","","","","","","","39340","35963","35067","38112","40819","",
"Egypt, Arab Rep.","EGY","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","811084","812902","832785","","","","","821497","","","","","","","","","","","","","","","","73330","","","","","80143","52279","8125","8564","9632","61","","","","","","","","","","",
"Euro area","EMU","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","710589","722798","727997","661721","624669","574159","566725","556762","564526","569600","589188","594208","638283","605822","522969","396824","404780","357352","352107","361702","380642","528267","507091","466620","364890","251630","173135","67585","62206","69812","91963","130424","143319","153843","111941","86331","66145","71218","75396","78741","93972","105552","","",
"Eritrea","ERI","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","112257","97433","83470","","","","27877","31982","33540","","","","","","","","","","","","","","","","","","","","1806","344","1514","1368","2044","3092","2551","1020","1134","1256","1807","4438","5555","5294","","",
"Estonia","EST","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8297","5863","","334","27","17","10","","1222","1269","1210","1331","1770","1447","1347","1118","1618","1462","","",
"Ethiopia","ETH","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","2247861","2285218","2436102","","","","","3480368","3446457","3294462","","3019282","2991296","2877357","2749009","2731658","2811968","2807460","2257389","1783510","","","","","","","","",
"European Union","EUU","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","915385","854523","823932","780983","808289","855913","918683","940489","1020294","995213","1033081","991311","948310","816640","817437","787299","809486","840971","876364","1009164","902296","766185","656663","539027","408002","217206","234295","225106","217463","241894","252693","298100","250496","240864","226687","185934","179329","197740","216069","236698","","",
"Fragile and conflict affected situations","FCS","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","5519282","5813830","5914286","5835381","5822817","5859910","5812076","","","","","","","","","","","","","","","8176033","8001551","8404414","8781918","9154302","9739379","9669142","9406240","8958539","8614455","8370470","8297481","8033684","7986926","7454366","7397551","7309714","7189846","7002606","","",
"Finland","FIN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2135","2569","3159","3520","2381","471","","","611","977","2236","4018","5074","6361","5317","4339","4284","3820","3159","2169","","",
"Fiji","FJI","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1956","","1707","2592","3595","3368","3018","3458","3094","1433","","957","525","","914","","","591","","1036","","","",
"France","FRA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","61308","60473","","","","","6801","","60282","81661","","130468","160406","","81638","","","","","","","55389","99282","98416","61616","21975","17780","","6922","10443","20135","27884","33241","42381","18231","17179","16723","18540","20267","20550","29999","33420","","",
"Faeroe Islands","FRO","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1057",
"Gabon","GAB","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6910","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","22256","33725","58444","77273","89461","97770","93765","97018","95685","63350","71082","97439","131776","135881","157863","119512","61297","25451","12687","19844","58101","89792","","","","","","905","1878","1870","","","","13290","42","10737","37233","2662","2555","4911","6077","2747","","",
"Georgia","GEO","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27386","29241","24857","","","","","","","14218","14529","9409","5818","","","","","2865","5600","",
"Ghana","GHA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","548351","508430","607143","583160","604894","648540","533929","557031","471182","386257","416653","","299628","310258","241046","206843",
"Guinea","GIN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","218145","208956","229210","249056","254839","268264","287189","291810","","","","","","","343448","337652","328790","311826","260962","241781","224757","216857","207613","197838","211302","205759","182360","159375","167621","","",
"Gambia, The","GMB","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","20994","22881","23836","25021","25669","25831","23059","21252","20260","18822","14970","13491","12401","12895","12113","13663","","","","","","35924","34755","","","29793","","28768","18600","22654","23523","26499","25759","27972","32916","28693","30313","37341","","40273","42647","41242","48457","",
"Guinea-Bissau","GNB","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","25893","26207","","37635","37867","","39045","37066","","","","","","","","","","","","41363","","","","","","","","","","32946","","","","",
"Equatorial Guinea","GNQ","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4559","","","","","","8303","6505","7135","8538","","","","","20375","20894","21150","20261","19142","","",
