Country Name		Indicator Name		1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
Saudi Arabia																																																										
Sudan																																																										
Senegal																																																										
Singapore		South-Eastern Asia	CTS																																															0.06	0	0	0	0.11	0			
Solomon Islands																																																										
Sierra Leone																																																										
El Salvador			CTS																																																0.04	0.01	0.09	0.16	0.06	0.17		
San Marino																																																										
Somalia																																																										
Serbia																																																										
Sub-Saharan Africa (developing only)																																																										
South Sudan																																																										
Sub-Saharan Africa (all income levels)																																																										
Small states																																																										
Sao Tome and Principe		Middle Africa	CTS																																															0	0	0	0	0	0			
Suriname																																																										
Slovak Republic																																																										
Slovenia			CTS																																														0	0	0	0	0	0	0.06	0		
Sweden			National Council for Crime Prevention																																																			0.13				
Swaziland																																																										
Sint Maarten (Dutch part)																																																										
Seychelles																																																										
Syrian Arab Republic																																																										
Turks and Caicos Islands																																																										
Chad																																																										
Togo																																																										
Thailand																																																										
Tajikistan																																																										
Turkmenistan																																																										
Timor-Leste			UN-PKO																																																			0.05				
Tonga																																																										
Trinidad and Tobago			CTS																																															0.43	0.53	0.49	0.31	0.16	0.26			
Tunisia																																																										
Turkey																																																										
Tuvalu																																																										
Tanzania																																																										
Uganda																																																										
Ukraine																																																										
Upper middle income																																																										
Uruguay			CTS																																																				0.13			
United States			CTS																																														0.05	0.06	0.04	0.05	0.06	0.06	0.05			
Uzbekistan																																																										
St. Vincent and the Grenadines																																																										
"Venezuela, RB"																																																										
Virgin Islands (U.S.)																																																										
Vietnam			CTS																																														0	0								
Vanuatu																																																										
West Bank and Gaza																																																										
World																																																										
Samoa																																																										
"Yemen, Rep."																																																										
South Africa																																																										
"Congo, Dem. Rep."																																																										
Zambia	Africa	Eastern Africa	National Police																																														0	0.02	0.02	0.07	0.03	0.05				
Zimbabwe																																																										
