Data Source	World Development Indicators																																																									
																																																										
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
Eritrea	ERI	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																											52.51395035										70.49176025		
Spain	ESP	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																						92.80976868										96.49497223														97.75069427		97.93884277	97.6306076	97.67926788	97.74889374	97.78375244	97.89453888		
Estonia	EST	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																														99.72644043											99.76719666											99.86277771			
Ethiopia	ETH	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																			27.01135445										35.90000153	29.8203373		38.99598312							
European Union	EUU	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																									98.75852456										99.09336284				
Fragile and conflict affected situations	FCS	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																									65.28808034										67.56190621				
Finland	FIN	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																																							
Fiji	FJI	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																																							
France	FRA	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																																							
Faeroe Islands	FRO	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																																							
"Micronesia, Fed. Sts."	FSM	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																																							
Gabon	GAB	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																		72.2336731											83.8006897								82.28379822		
United Kingdom	GBR	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																																							
Georgia	GEO	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																											99.65235138										99.73915863		
Ghana	GHA	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																									57.89747238										71.49707794				
Guinea	GIN	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																					20.55374908							29.70401764							25.30774498				
"Gambia, The"	GMB	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																									36.81772614												52.0043602		
Guinea-Bissau	GNB	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																				19.95824814																					41.35776901												56.73513031		
Equatorial Guinea	GNQ	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																									88.30830383												94.5138092		
Greece	GRC	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																						90.51232147										92.61045074										95.99436188											97.36376953		
Grenada	GRD	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS											96																																												
Greenland	GRL	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																																							
Guatemala	GTM	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																			64.2116394								69.10173035										78.26485443		
Guam	GUM	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																					96.4206543																																		
Guyana	GUY	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																																		84.99401093					
High income	HIC	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																																							
"Hong Kong SAR, China"	HKG	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																																							
Honduras	HND	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																										80.0110321						83.58899689			84.75536346	85.1233139	85.35555267		
Heavily indebted poor countries (HIPC)	HPC	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																															45.6485062										52.24945762										55.02835638				
Croatia	HRV	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																96.70154572										98.14667511										99.12535858			
Haiti	HTI	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																							34.73469162																					58.74390411			48.68502045								
Hungary	HUN	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																					98.858284														98.98207092										99.02996826								99.37355804		
Indonesia	IDN	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																					67.31267548										81.51985168														90.38478851		91.98226929		92.19229889	92.58169556		92.81190491			
Isle of Man	IMN	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																																							
India	IND	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																						40.76359177										48.22207642										61.01455688					62.75447464								
Not classified	INX	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																																							
Ireland	IRL	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																																							
"Iran, Islamic Rep."	IRN	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																	36.5184021										52.31975555					65.53140259					73.06025696						77			82.44120026	82.33131409		85.01876831				84.2795105		
Iraq	IRQ	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																									74.05220032												79.0019989		
Iceland	ISL	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																																							
Israel	ISR	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																								91.75141144																												97.76419067			
Italy	ITA	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																						96.46054077																				98.41661835											99.02561188		
Jamaica	JAM	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																								79.92012024													87.48201752		
Jordan	JOR	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																				66.79680634																								89.89232635		91.13075256		92.19957733			92.55104065	95.90444946	97.89031982		
Japan	JPN	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																																							
Kazakhstan	KAZ	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																														97.5293808										99.51265717										99.73241425					
Kenya	KEN	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																									82.22907257							72.1570282							
Kyrgyz Republic	KGZ	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																								98.70161438										99.24140167					
Cambodia	KHM	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																							67.3350296						73.60995483				77.58654022	73.90002441					
Kiribati	KIR	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																																							
St. Kitts and Nevis	KNA	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																																							
"Korea, Rep."	KOR	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																																							
Kosovo		"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																																							
Kuwait	KWT	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																59.56439209					67.51765442					74.49086761										78.39550018										93.27446747	93.28211975	93.66418457	93.90620422				95.51317596		
Latin America & Caribbean (developing only)	LAC	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																															85.31222191										89.48318788										92.16135707				
Lao PDR	LAO	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																				60.25133133					69.58312225	68.73439789				72.70226288									
Lebanon	LBN	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																																89.61244202							
Liberia	LBR	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																									32.10676575										42.66604996										43.10837173			42.94108582							
Libya	LBY	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																									60.16439438										75.8079071										85.41681671								89.87944031		
St. Lucia	LCA	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																																							
Latin America & Caribbean (all income levels)	LCN	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																															85.75216434										89.76084911										92.41097555				
Least developed countries: UN classification	LDC	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																															46.37176842										53.93871135										58.70604447				
Low income	LIC	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																															50.94163307										57.55895916										60.36414122				
Liechtenstein	LIE	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																																							
Sri Lanka	LKA	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																						86.77792358																				90.68275452					90.80882263		90.55795288		91.18135834				
Lower middle income	LMC	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																															58.82200287										67.65451954										70.58140001				
Low & middle income	LMY	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																															68.45725243										77.10753499										80.41682144				
Lesotho	LSO	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																									86.25443268									75.80020142					
Lithuania	LTU	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																														98.44126892												99.64575195										99.81559753			
Luxembourg	LUX	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																																							
Latvia	LVA	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																														99.45230103											99.74656677											99.89590454			
"Macao SAR, China"	MAC	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																						90.37818146																				91.29537201					93.49975586					95.64003754			
St. Martin (French part)	MAF	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																																							
Morocco	MAR	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																							30.25780487												41.59410477										52.30625916				55.1479187	56.08367157		67.08415985			
Monaco	MCO	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																																							
Moldova	MDA	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																														96.37754822											96.65379333												99.06809998		
Madagascar	MDG	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																									70.68617249									64.48090363					
Maldives	MDV	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																		82.29995728								92.23004913					96.01825714					96.32649231					96.32649231						98.39789581								
Middle East & North Africa (all income levels)	MEA	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																															58.44824824										70.39975589										79.95582413				
